referrer,views_total,views_unique
Google,656,200
github.com,537,70
pkg.go.dev,63,7
blog.cosmos.network,16,15
medium.com,12,8
Bing,11,5
StartPage,9,1
t.co,8,6
DuckDuckGo,6,4
bytemeta.vip,6,1
