time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-19 00:00:00+00:00,341,107,247,53
2022-11-20 00:00:00+00:00,227,98,401,55
2022-11-21 00:00:00+00:00,1016,174,1019,123
2022-11-22 00:00:00+00:00,1278,190,763,88
2022-11-23 00:00:00+00:00,969,159,770,96
2022-11-24 00:00:00+00:00,483,142,434,92
2022-11-25 00:00:00+00:00,996,169,668,68
2022-11-26 00:00:00+00:00,420,118,306,66
2022-11-27 00:00:00+00:00,312,107,218,62
2022-11-28 00:00:00+00:00,1426,198,909,100
2022-11-29 00:00:00+00:00,1137,177,1091,124
2022-11-30 00:00:00+00:00,1023,198,783,112
2022-12-01 00:00:00+00:00,1193,172,681,103
2022-12-02 00:00:00+00:00,955,170,630,83
