time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-29 00:00:00+00:00,331,184,171,56
2022-12-30 00:00:00+00:00,424,170,414,55
2022-12-31 00:00:00+00:00,281,124,227,37
2023-01-01 00:00:00+00:00,327,147,155,39
2023-01-02 00:00:00+00:00,296,148,294,63
2023-01-03 00:00:00+00:00,756,191,585,82
2023-01-04 00:00:00+00:00,1818,216,921,86
2023-01-05 00:00:00+00:00,1549,289,795,116
2023-01-06 00:00:00+00:00,1073,262,553,70
2023-01-07 00:00:00+00:00,468,143,340,36
2023-01-08 00:00:00+00:00,285,130,143,44
2023-01-09 00:00:00+00:00,904,282,655,78
2023-01-10 00:00:00+00:00,1028,246,839,103
2023-01-11 00:00:00+00:00,343,139,470,70
