time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-14 00:00:00+00:00,1210,198,597,112
2022-10-15 00:00:00+00:00,489,133,232,59
2022-10-16 00:00:00+00:00,499,133,283,55
2022-10-17 00:00:00+00:00,1358,267,896,112
2022-10-18 00:00:00+00:00,1139,383,703,95
2022-10-19 00:00:00+00:00,1192,399,539,90
2022-10-20 00:00:00+00:00,1903,298,914,103
2022-10-21 00:00:00+00:00,1111,157,633,102
2022-10-22 00:00:00+00:00,322,114,111,46
2022-10-23 00:00:00+00:00,325,119,171,53
2022-10-24 00:00:00+00:00,717,143,545,102
2022-10-25 00:00:00+00:00,700,165,649,92
2022-10-26 00:00:00+00:00,1137,177,624,106
2022-10-27 00:00:00+00:00,515,144,858,111
