referrer,views_total,views_unique
github.com,1227,93
Google,779,246
pkg.go.dev,32,6
blog.cosmos.network,31,20
knoldus.go1percent.com,27,4
forum.cosmos.network,18,2
DuckDuckGo,13,6
youtube.com,13,3
Baidu,11,1
gitlab.innovasur.es,10,3
