time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-25 00:00:00+00:00,614,130,102,49
2022-09-26 00:00:00+00:00,712,127,538,84
2022-09-27 00:00:00+00:00,824,150,661,112
2022-09-28 00:00:00+00:00,459,142,391,122
2022-09-29 00:00:00+00:00,685,166,473,101
2022-09-30 00:00:00+00:00,1099,173,327,70
2022-10-01 00:00:00+00:00,438,132,211,53
2022-10-02 00:00:00+00:00,273,119,226,64
2022-10-03 00:00:00+00:00,795,147,537,117
2022-10-04 00:00:00+00:00,1090,185,907,124
2022-10-05 00:00:00+00:00,586,156,691,82
2022-10-06 00:00:00+00:00,677,163,608,94
2022-10-07 00:00:00+00:00,713,153,509,101
2022-10-08 00:00:00+00:00,391,127,192,68
