referrer,views_total,views_unique
github.com,1204,93
Google,887,243
blog.cosmos.network,27,17
knoldus.go1percent.com,26,4
pkg.go.dev,24,5
forum.cosmos.network,18,2
DuckDuckGo,13,6
youtube.com,12,3
Baidu,11,1
gitlab.innovasur.es,10,3
