time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-28 00:00:00+00:00,459,142,391,122
2022-09-29 00:00:00+00:00,685,166,473,101
2022-09-30 00:00:00+00:00,1099,173,327,70
2022-10-01 00:00:00+00:00,438,132,211,53
2022-10-02 00:00:00+00:00,273,119,226,64
2022-10-03 00:00:00+00:00,795,147,537,117
2022-10-04 00:00:00+00:00,1090,185,907,124
2022-10-05 00:00:00+00:00,586,156,691,82
2022-10-06 00:00:00+00:00,677,163,608,94
2022-10-07 00:00:00+00:00,713,153,509,101
2022-10-08 00:00:00+00:00,482,134,203,68
2022-10-09 00:00:00+00:00,410,128,136,52
2022-10-10 00:00:00+00:00,638,152,515,108
2022-10-11 00:00:00+00:00,449,131,532,118
