referrer,views_total,views_unique
Google,683,193
github.com,499,68
pkg.go.dev,20,8
blog.cosmos.network,16,11
medium.com,12,8
t.co,10,7
youtube.com,9,3
StartPage,9,1
Bing,8,4
bytemeta.vip,6,1
