referrer,views_total,views_unique
github.com,1320,117
Google,1099,329
mail.google.com,69,1
blog.cosmos.network,45,30
search.brave.com,26,6
gitpod.io,25,6
medium.com,24,10
pkg.go.dev,13,5
youtube.com,11,6
t.co,10,8
