referrer,views_total,views_unique
github.com,927,83
Google,821,237
knoldus.go1percent.com,26,4
blog.cosmos.network,22,15
forum.cosmos.network,18,2
pkg.go.dev,17,5
DuckDuckGo,13,6
youtube.com,12,3
Baidu,11,1
StartPage,10,2
