referrer,views_total,views_unique
github.com,1073,103
Google,1054,291
blog.cosmos.network,84,33
docs.cosmos.network,42,1
gitpod.io,26,5
medium.com,13,6
search.brave.com,13,5
pkg.go.dev,13,5
cosmos-hackatom-vi.devpost.com,9,1
DuckDuckGo,8,3
