referrer,views_total,views_unique
github.com,886,84
Google,807,239
blog.cosmos.network,69,23
pkg.go.dev,61,6
docs.cosmos.network,42,1
search.brave.com,13,5
medium.com,12,7
DuckDuckGo,10,4
gitpod.io,8,5
Bing,8,3
