referrer,views_total,views_unique
github.com,735,80
Google,633,211
pkg.go.dev,62,6
blog.cosmos.network,61,21
docs.cosmos.network,42,1
search.brave.com,13,5
medium.com,12,8
Bing,9,4
gitpod.io,8,5
DuckDuckGo,7,3
