referrer,views_total,views_unique
github.com,832,81
Google,789,228
knoldus.go1percent.com,25,3
blog.cosmos.network,21,16
forum.cosmos.network,20,3
pkg.go.dev,14,7
youtube.com,12,3
Baidu,11,1
medium.com,9,7
DuckDuckGo,9,3
