url_path,views_total,views_unique
/ignite/cli,876,339
/ignite/cli/issues,217,48
/ignite/cli/pulls,139,16
/ignite/cli/releases,85,22
/ignite/cli/search,77,23
/ignite/cli/commits/main,71,9
/ignite/cli/pull/3306,48,7
/ignite/cli/tree/main/ignite,39,23
/ignite/cli/pull/3338,37,4
/ignite/cli/pull/3337,24,5
