time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-18 00:00:00+00:00,571,137,128,57
2022-09-19 00:00:00+00:00,608,158,429,89
2022-09-20 00:00:00+00:00,725,158,427,109
2022-09-21 00:00:00+00:00,878,160,341,69
2022-09-22 00:00:00+00:00,961,158,523,112
2022-09-23 00:00:00+00:00,1259,145,575,86
2022-09-24 00:00:00+00:00,688,134,108,52
2022-09-25 00:00:00+00:00,614,130,102,49
2022-09-26 00:00:00+00:00,712,127,538,84
2022-09-27 00:00:00+00:00,824,150,661,112
2022-09-28 00:00:00+00:00,459,142,391,122
2022-09-29 00:00:00+00:00,685,166,473,101
2022-09-30 00:00:00+00:00,1099,173,327,70
2022-10-01 00:00:00+00:00,411,125,207,51
