time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-24 00:00:00+00:00,331,140,117,43
2022-12-25 00:00:00+00:00,318,156,68,20
2022-12-26 00:00:00+00:00,641,192,395,69
2022-12-27 00:00:00+00:00,404,164,214,68
2022-12-28 00:00:00+00:00,341,167,206,61
2022-12-29 00:00:00+00:00,331,184,171,56
2022-12-30 00:00:00+00:00,424,170,414,55
2022-12-31 00:00:00+00:00,281,124,227,37
2023-01-01 00:00:00+00:00,327,147,155,39
2023-01-02 00:00:00+00:00,296,148,294,63
2023-01-03 00:00:00+00:00,756,191,585,82
2023-01-04 00:00:00+00:00,1818,216,921,86
2023-01-05 00:00:00+00:00,1549,289,795,116
2023-01-06 00:00:00+00:00,1043,257,538,67
