referrer,views_total,views_unique
github.com,1112,89
Google,854,248
knoldus.go1percent.com,26,4
blog.cosmos.network,25,16
pkg.go.dev,18,5
forum.cosmos.network,18,2
DuckDuckGo,13,6
youtube.com,12,3
Baidu,11,1
StartPage,10,2
