referrer,views_total,views_unique
github.com,838,84
Google,668,226
pkg.go.dev,64,8
blog.cosmos.network,63,23
docs.cosmos.network,42,1
search.brave.com,13,5
DuckDuckGo,10,4
medium.com,9,7
gitpod.io,8,5
Bing,8,3
