referrer,views_total,views_unique
github.com,787,82
Google,758,223
knoldus.go1percent.com,25,3
blog.cosmos.network,20,15
forum.cosmos.network,20,3
youtube.com,12,3
medium.com,11,8
Baidu,11,1
StartPage,9,1
pkg.go.dev,7,6
