referrer,views_total,views_unique
github.com,991,93
Google,883,262
blog.cosmos.network,72,23
pkg.go.dev,65,7
docs.cosmos.network,42,1
search.brave.com,13,5
medium.com,12,7
DuckDuckGo,12,5
Bing,8,3
t.co,7,5
