time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-08 00:00:00+00:00,482,134,203,68
2022-10-09 00:00:00+00:00,410,128,136,52
2022-10-10 00:00:00+00:00,638,152,515,108
2022-10-11 00:00:00+00:00,505,135,562,126
2022-10-12 00:00:00+00:00,606,134,450,108
2022-10-13 00:00:00+00:00,1559,207,883,114
2022-10-14 00:00:00+00:00,1210,198,597,112
2022-10-15 00:00:00+00:00,489,133,232,59
2022-10-16 00:00:00+00:00,499,133,283,55
2022-10-17 00:00:00+00:00,1358,267,896,112
2022-10-18 00:00:00+00:00,1139,383,703,95
2022-10-19 00:00:00+00:00,1192,399,539,90
2022-10-20 00:00:00+00:00,1903,298,914,103
2022-10-21 00:00:00+00:00,1070,158,619,100
