referrer,views_total,views_unique
Google,1166,343
github.com,846,117
blog.cosmos.network,51,35
t.co,32,14
medium.com,24,11
youtube.com,22,6
pkg.go.dev,21,13
DuckDuckGo,17,6
dev.to,16,1
search.brave.com,13,3
