time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-22 00:00:00+00:00,322,114,111,46
2022-10-23 00:00:00+00:00,325,119,171,53
2022-10-24 00:00:00+00:00,717,143,545,102
2022-10-25 00:00:00+00:00,700,165,649,92
2022-10-26 00:00:00+00:00,1137,177,624,106
2022-10-27 00:00:00+00:00,532,151,887,116
2022-10-28 00:00:00+00:00,643,147,601,105
2022-10-29 00:00:00+00:00,280,117,212,51
2022-10-30 00:00:00+00:00,231,109,380,58
2022-10-31 00:00:00+00:00,1032,175,968,108
2022-11-01 00:00:00+00:00,773,167,1058,125
2022-11-02 00:00:00+00:00,791,161,1138,136
2022-11-03 00:00:00+00:00,766,172,950,124
2022-11-04 00:00:00+00:00,1081,193,881,114
