time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-16 00:00:00+00:00,1206,209,780,75
2022-12-17 00:00:00+00:00,631,165,350,42
2022-12-18 00:00:00+00:00,561,181,318,51
2022-12-19 00:00:00+00:00,915,247,621,85
2022-12-20 00:00:00+00:00,688,211,479,78
2022-12-21 00:00:00+00:00,718,230,647,78
2022-12-22 00:00:00+00:00,419,181,235,63
2022-12-23 00:00:00+00:00,652,165,486,60
2022-12-24 00:00:00+00:00,331,140,117,43
2022-12-25 00:00:00+00:00,318,156,68,20
2022-12-26 00:00:00+00:00,641,192,395,69
2022-12-27 00:00:00+00:00,404,164,214,68
2022-12-28 00:00:00+00:00,341,167,206,61
2022-12-29 00:00:00+00:00,312,176,170,56
