url_path,views_total,views_unique
/ignite/cli,1389,504
/ignite/cli/pulls,792,23
/ignite/cli/issues,506,74
/ignite/cli/search,144,41
/ignite/cli/commits/main,134,11
/ignite/cli/pull/3208,112,7
/ignite/cli/releases,109,53
/ignite/cli/pull/3192,99,8
/ignite/cli/pull/3183,95,9
/ignite/cli/tree/main/ignite,91,54
