referrer,views_total,views_unique
github.com,1399,152
Google,1182,338
blog.cosmos.network,49,32
t.co,46,13
medium.com,27,11
pkg.go.dev,25,12
gitpod.io,20,10
youtube.com,14,5
link.juejin.cn,13,2
search.brave.com,11,2
