referrer,views_total,views_unique
github.com,1116,104
Google,1102,305
blog.cosmos.network,83,32
docs.cosmos.network,42,1
gitpod.io,26,5
mail.google.com,19,1
medium.com,13,6
pkg.go.dev,13,5
search.brave.com,13,5
cosmos-hackatom-vi.devpost.com,9,1
